Cycle,Time
1,2.26177
2,17.639587
3,32.379895
4,47.160937
5,61.531141
6,75.963311
7,89.95524
8,104.40174
9,118.582149
10,132.350902
11,146.15024
12,159.975862
13,174.111923
14,188.130562
15,202.228825
16,215.816074
17,229.270278
18,242.208932
19,254.909213
20,268.40309
21,281.346418
22,294.07996
23,306.285515
24,319.186713
25,331.631991
26,344.149334
27,356.189932
28,368.66847
29,381.296685
30,393.963704
31,406.586375
