0.00	50.22
14.34	52.29
28.11	51.68
42.04	53.07
55.61	54.70
68.77	53.87
82.13	51.53
96.11	54.70
109.27	53.87
122.63	57.31
135.20	55.33
148.21	54.16
161.50	52.67
175.17	52.44
188.90	53.07
202.47	51.45
216.46	52.67
230.13	53.40
243.62	53.22
257.15	52.85
270.77	53.59
284.20	54.35
297.45	53.97
310.79	53.03
324.37	54.07
337.68	53.31
351.19	57.62
363.69	54.54
376.89	55.89
389.77	56.40
402.54	53.78
415.92	56.58
428.65	57.35
441.20	58.09
453.60	58.68
465.87	60.15
477.84	59.46
489.95	62.38
501.49	57.08
514.10	56.56
526.83	56.77
539.52	58.72
551.78	59.18
563.94	55.53
576.91	58.63
589.19	59.97
601.20	60.58
613.08	56.14
625.90	58.89
638.13	56.32
650.91	55.38
663.91	57.03
676.54	57.03
689.16	58.42
701.49	62.20
713.07	65.45
724.07	62.61
735.57	58.18
747.94	61.54
759.64	61.94
771.26	57.03
783.89	58.30
796.24	58.53
808.54	56.69
821.24	58.42
833.57	57.53
846.08	54.94
859.19	0.00
